website,url,bias,reliability
huffpost,"""https:www.huffpost.com",0.49775170757218573,0.4256706016008974
national_review,"""https:www.nationalreview.com",0.8723151792621299,0.5665691820685947
businessinsider,"""https:www.businessinsider.com",0.6874967388790085,0.39597908478737365
vox,"""https:www.vox.com",0.5223463584226917,0.39127622768916126
federalist,"""https:thefederalist.com",0.9251751119971419,0.70532198315124
new_york_times,,0.5373932416401996,0.3332157854880973
breitbart,"""https:www.breitbart.com",0.8898391696314164,0.6503950778494962
foxnews,"""https:www.foxnews.com",0.8570924275959108,0.575811447194456
politico,"""https:www.politico.com",0.5659037170691893,0.3340284361029256
redstate,"""https:redstate.com",0.9484348326889767,0.7359554733666069
ap,"""https:graphics.reuters.com",0.6310755676847107,0.23338408051559956
cnn,"""https:edition.cnn.com",0.5414526511369296,0.35519545345659753
newsweek,"""https:www.newsweek.com",0.5099598177110368,0.43628116078757917
washington_post,"""https:www.washingtonpost.com",0.5340412172734794,0.35836355464092745
npr,"""https:www.npr.org",0.5929661845776135,0.28976327926513984
pj_media,"""https:pjmedia.com",0.9639661208856606,0.8079227078193489
crooks_and_liars,"""https:crooksandliars.com",0.384489932535622,0.645532192549228
palmer_report,"""https:www.palmerreport.com",0.3356592404890989,0.7987314384209863
new_york_post,,0.7984612870337624,0.5049855407994313
alternet,"""https:www.alternet.org",0.4140412708419703,0.6901957956852849
slate,"""https:slate.com",0.4098185072866863,0.5179798513534156
the_guardian,"""https:www.theguardian.com",0.5238286108196814,0.34442900684562155
washington_times,"""https:www.washingtontimes.com",0.8358955728414167,0.6704560089840115
washington_examiner,"""https:www.washingtonexaminer.com",0.855711477950907,0.5833891048518601
epoch_times,"""https:www.theepochtimes.com",0.9399137816755058,0.7843871973232366
salon,"""https:www.salon.com",0.42156621165020225,0.4932858793768168
cnbc,"""https:www.cnbc.com",0.6195571200825413,0.2982836378043986
gatewaypundit,"""https:www.thegatewaypundit.com",0.9775114707884665,0.8326518808995277
reuters,"""https:www.reuters.com",0.56990832590712,0.26325335543178624
talking_points_memo_2,,0.5791142992863773,0.4102381108049962
theatlantic,"""https:www.theatlantic.com",0.4936304252398575,0.3760138484392305
occupy_democrats,"""http:occupydemocrats.com",0.35994606036132903,0.7288893014555906
usa_today,"""https:eu.usatoday.com",0.5973056896683283,0.3179345137387691
dailybeast,"""https:www.thedailybeast.com",0.42763691197509807,0.45140481836833324
christiansciencemonitor,,0.6065777961991212,0.33765059175988194
dailywire,"""https:www.dailywire.com",0.8824380130334492,0.6068492691283819
oann,"""https:www.oann.com",0.8949686415365086,0.6733617406666116
worldnetdaily,,0.9381000364067825,0.8202029844052349
nbc,"""https:www.msnbc.com",0.5586286065632382,0.31075664457324964
the_hill,"""https:thehill.com",0.6598983397583819,0.33860270749551435
dailycaller,"""https:dailycaller.com",0.8677256066762733,0.5806953333359958
axios,"""https:www.axios.com",0.5487202280944572,0.34605436950952384
russia_today,,0.8495390875715101,0.6041417616397902
abc,"""https:www.abc15.com",0.6049164897047712,0.2757423002878683
buzzfeed,"""https:www.buzzfeednews.com",0.5153469329650457,0.5544613049620035
common_dreams,"""https:www.commondreams.org",0.4647860262720765,0.4126349331836841
bipartisanreport,"""https:bipartisanreport.com",0.3794992480596574,0.7466908725879988
twitchy,"""https:twitchy.com",0.9276709196696892,0.8253858728982647
the_new_yorker,,0.5188284518780959,0.3918381723927136
theblaze,"""https:www.theblaze.com",0.8612262310991502,0.6022913082847338
cbsnews,"""https:www.cbsnews.com",0.6190089926071293,0.2619237295378266
la_times,"""https:www.latimes.com",0.56298922431624,0.2926505491005033
media_ite,"""https:www.mediaite.com",0.5080356779752387,0.4092752389646224
dailykos,"""https:www.dailykos.com",0.4021064022826986,0.658913452775595
vanity_fair,"""https:www.vanityfair.com",0.4387520246598096,0.4918234700589525
american_thinker,"""https:www.americanthinker.com",0.9544392359038121,0.7170779614050795
townhall,"""https:townhall.com",0.8858270865263176,0.6015061283579417
ny_daily_news,"""https:www.nydailynews.com",0.6045571279346842,0.31272085119716153
christianity_today,"""https:www.christianitytoday.com",0.7282256528894753,0.37190795635428486
ny_mag,"""https:nymag.com",0.545774374412627,0.3728793352368509
wonkette,"""https:www.wonkette.com",0.31803987647240345,0.7862257672858324
reason,"""https:reason.com",0.7739299535209696,0.5371980826306763
bbc,"""https:www.bbc.com",0.5839046972423476,0.354810736832862
the_week,"""https:theweek.com",0.4363208917703515,0.5455364974515524
mother_jones,"""https:www.motherjones.com",0.4599843330427108,0.4492610588610748
fair,"""https:www.foreignaffairs.com",0.43689650533594376,0.4829580472991088
real_clear_politics,"""https:www.realclearpolitics.com",0.8282694362843104,0.4857140811667204
inthesetimes,"""https:inthesetimes.com",0.3992734946554991,0.545598971588287
aljazeera,"""https:www.aljazeera.com",0.5566499208424502,0.31727464141850903
the_nation,"""https:www.thenation.com",0.4121195823227602,0.5457797690143341
forbes,"""https:www.forbes.com",0.6280490357479058,0.34667481269156236
life_news,"""https:www.lifenews.com",0.957012264572347,0.7373230217096115
fivethirtyeight,"""https:fivethirtyeight.com",0.5470127509024826,0.3554463751994995
the_bulwark,"""https:thebulwark.com",0.5390874380207145,0.5227079680998041
therealnews,"""https:therealnews.com",0.43053096679854985,0.44379161534155614
democracynow,"""https:www.democracynow.org",0.41276254151093633,0.5870786174693606
the_new_republic,,0.41475011816891644,0.5328068701832649
truthout,"""https:truthout.org",0.3948920556174636,0.6137997091508096
fortune,"""https:fortune.com",0.700186253297727,0.3213691064476413
